#grid point	c_iterations	c_convergence   	P               	T(k)            	n_<tot> (cm-3)  	n_g (cm-3)      	m(u)            	C    	H    	He   	N    	O    	P    	S    	Si   	Ti   	V    	Cl   	K    	Na   	Mg   	F    
0         	25        	ok              	1.0000000000e+03	1.7056000000e+03	1.1011703058e+22	4.2465778445e+21	1.8540424396e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
1         	26        	ok              	8.5270000000e+02	1.6560000000e+03	9.6710183021e+21	3.7295137055e+21	1.8540623734e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
2         	27        	ok              	7.2720000000e+02	1.5811000000e+03	8.6384605626e+21	3.3312774767e+21	1.8540860649e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
3         	28        	ok              	6.2010000000e+02	1.5101000000e+03	7.7126079291e+21	2.9742145968e+21	1.8541005880e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
4         	29        	ok              	5.2880000000e+02	1.4409000000e+03	6.8929473372e+21	2.6581157090e+21	1.8541095798e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
5         	30        	ok              	4.5090000000e+02	1.3752000000e+03	6.1583306065e+21	2.3748197310e+21	1.8541148867e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
6         	31        	ok              	3.8450000000e+02	1.3115000000e+03	5.5065236376e+21	2.1234611814e+21	1.8541181904e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
7         	32        	ok              	3.2790000000e+02	1.2512000000e+03	4.9222624441e+21	1.8981518734e+21	1.8541204481e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
8         	34        	ok              	2.7960000000e+02	1.1929000000e+03	4.4023335079e+21	1.6976548770e+21	1.8541199968e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
9         	35        	ok              	2.3840000000e+02	1.1380000000e+03	3.9347231184e+21	1.5173307734e+21	1.8541211590e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
10        	37        	ok              	2.0330000000e+02	1.0852000000e+03	3.5186616721e+21	1.3568875901e+21	1.8541204873e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
11        	38        	ok              	1.7340000000e+02	1.0357000000e+03	3.1446001440e+21	1.2126386154e+21	1.8541215917e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
12        	40        	ok              	1.4780000000e+02	9.8830000000e+02	2.8088961870e+21	1.0831832002e+21	1.8541208867e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
13        	42        	ok              	1.2610000000e+02	9.4390000000e+02	2.5092214824e+21	9.6762120557e+20	1.8541204729e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
14        	43        	ok              	1.0750000000e+02	9.0290000000e+02	2.2362439332e+21	8.6235301910e+20	1.8541217437e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
15        	45        	ok              	9.1680000000e+01	8.7250000000e+02	1.9735998099e+21	7.6107147687e+20	1.8541205511e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
16        	46        	ok              	7.8180000000e+01	8.4200000000e+02	1.7439489721e+21	6.7251171111e+20	1.8541212924e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
17        	47        	ok              	6.6670000000e+01	8.1310000000e+02	1.5400585312e+21	5.9388556715e+20	1.8541227430e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
18        	49        	ok              	5.6850000000e+01	7.8650000000e+02	1.3576315011e+21	5.2353777025e+20	1.8541211971e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
19        	51        	ok              	4.8480000000e+01	7.6010000000e+02	1.1979585429e+21	4.6196402389e+20	1.8541205061e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
20        	52        	ok              	4.1340000000e+01	7.3250000000e+02	1.0600181232e+21	4.0877009899e+20	1.8541219649e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
21        	54        	ok              	3.5250000000e+01	7.0560000000e+02	9.3831972744e+20	3.6184020946e+20	1.8541215587e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
22        	56        	ok              	3.0060000000e+01	6.7860000000e+02	8.3200401499e+20	3.2084213519e+20	1.8541215671e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
23        	58        	ok              	2.5630000000e+01	6.5150000000e+02	7.3889834145e+20	2.8493806000e+20	1.8541221226e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
24        	61        	ok              	2.1860000000e+01	6.2230000000e+02	6.5978202175e+20	2.5442901323e+20	1.8541210764e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
25        	63        	ok              	1.8640000000e+01	5.9450000000e+02	5.8890460056e+20	2.2709643990e+20	1.8541231887e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
26        	66        	ok              	1.5890000000e+01	5.6780000000e+02	5.2562882129e+20	2.0269581683e+20	1.8541225456e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
27        	69        	ok              	1.3550000000e+01	5.4240000000e+02	4.6921321289e+20	1.8094054383e+20	1.8541224299e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
28        	72        	ok              	1.1560000000e+01	5.1790000000e+02	4.1924002557e+20	1.6166953903e+20	1.8541229649e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
29        	75        	ok              	9.8560000000e+00	4.9480000000e+02	3.7412974685e+20	1.4427373690e+20	1.8541241077e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
30        	78        	ok              	8.4050000000e+00	4.7510000000e+02	3.3227980589e+20	1.2813535141e+20	1.8541241743e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
31        	79        	ok              	7.1670000000e+00	4.7120000000e+02	2.8568186604e+20	1.1016620766e+20	1.8541222461e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
32        	79        	ok              	6.1120000000e+00	4.7120000000e+02	2.4362873759e+20	9.3949471359e+19	1.8541219737e+01	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   	ok   
